Epoch,loss,val_loss,val_acc,val_f1
0,0.5981177443931445,0.30759244337677955,0.8791469194312796,0.8584643848288621
1,0.18275183524015579,0.14977702414616942,0.9383886255924171,0.9319371727748691
2,0.12072262447065768,0.14958773828111588,0.9375987361769352,0.9302736098852603
3,0.0921219187079709,0.11709192837588489,0.9597156398104265,0.955536181342633
4,0.0721884761214926,0.10345616335398518,0.9533965244865719,0.9483814523184603
5,0.07171596510707286,0.2702952738385648,0.919431279620853,0.9053803339517625
6,0.06633434927135476,0.18265821570530533,0.9328593996840442,0.9219467401285584
7,0.051811952149793714,0.0899305747319886,0.9636650868878357,0.9594356261022927
8,0.044729022504735656,0.11670187946874648,0.9628751974723538,0.958590308370044
9,0.03793290734078194,0.07010493752604816,0.9747235387045814,0.9720767888307156
