Epoch,loss,val_loss,val_acc,val_f1
0,0.6226698974503225,0.26328098904341457,0.9146919431279621,0.9081632653061225
1,0.1876509097362921,0.15075925085693598,0.9415481832543444,0.93631669535284
2,0.13261648284512037,0.13298881314694883,0.9541864139020537,0.9500860585197936
3,0.09957090184338432,0.12696133858989925,0.9541864139020537,0.9494773519163763
4,0.08894605684392363,0.13842393825761973,0.9502369668246445,0.9436997319034853
5,0.07188553246342462,0.1643850410822779,0.9454976303317536,0.9377817853922453
6,0.05896223648719416,0.14498048084788023,0.9470774091627172,0.9400179051029544
7,0.051627672043906295,0.1675536433933303,0.9494470774091627,0.9424460431654677
8,0.06497582619969884,0.10106863762484863,0.9652448657187994,0.9611307420494701
9,0.049687541449662254,0.07254165774356806,0.976303317535545,0.9739130434782608
